A001,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,ADMIN,Admin User,1980-01-01,Male,555-0000;admin@example.com
P001,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,Jane Doe,1990-07-20,Female,555-2222;jdoe@example.com
PH001,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PHARMACIST,Alex Johnson,1985-03-10,Non-Binary,555-3333;alexj@example.com
D002,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DOCTOR,Drjones,1990-09-09,Male,999;jones@mail.com
D001,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,DOCTOR,Dr. John Smith,1975-05-15,Male,111;drsmith@example.co
P002,8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,PATIENT,Sook Manards,1969-09-11,Male,88889999;bismilah@example.com
P003,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,Ligma Bawls,1999-05-03,Female,98761234;Ligma@hmail.com
1111,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,12,13,,6
Apple,3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b,PATIENT,e,e,e,e
apple,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,DOCTOR,1232,123,,123
orange,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,ADMIN,orange,123,123,123
blue,5994471abb01112afcc18159f6cc74b4f511b99806da59b3caf5a9c173cacfc5,PATIENT,123,123,123,123
red,3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b,PATIENT,13,123,123,123
green,432e8704c5d054ea55a8a6bcf629ae25cadc099a4c8ba91604a885f631254974,ADMIN,123,123,123,123
yellow,ba4788b226aa8dc2e6dc74248bb9f618cfa8c959e0c26c147be48f6839a0b088,DOCTOR,123,123,213,123
John,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,John,123,123,123
123,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,123,1111-22-33,123,98202303
John Cena,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,PATIENT,John Cena,123,123,123
